iter	cv_intercept
0	0.5793
250	1.1043
1000	0.3872
4000	1.0502
16000	0.8327
32000	0.3149
64000	0.3388
125000	0.2749
250000	0.2061
500000	0.1712
1000000	0.1578
2000000	0.1469
