iter	slope_mean	slope_hw	intercept_mean	intercept_hw
250	0.0763	0.0323	1.1043	0.2099
1000	0.051	0.0249	0.3872	0.1819
4000	0.2359	0.1215	1.0502	0.1771
16000	0.5164	0.2384	0.8327	0.2691
32000	0.933	0.041	0.3149	0.0673
64000	0.9437	0.0249	0.3388	0.0542
125000	0.9405	0.0304	0.2749	0.0646
250000	0.9595	0.0298	0.2061	0.0412
500000	0.9658	0.0164	0.1712	0.0384
1000000	0.9819	0.0155	0.1578	0.0307
