run	1	2	3	4	5	6	7	8	9
1	6.401999871960003	7.110999857780004	7.493999850120003	8.050999838980005	8.557999828840003	8.745999825080006	9.180999816380004	9.441999811160004	9.798999804020003
2	5.525999889480003	6.287999874240002	7.184999856300005	7.644999847100003	8.312999833740005	8.560999828780004	9.123999817520003	9.584999808300005	10.220999795580004
3	5.3799998924000025	6.358999872820003	6.900999861980004	7.356999852860003	8.038999839220004	8.398999832020003	8.760999824780006	9.336999813260004	9.410999811780004
4	5.578999888420003	6.437999871240003	7.167999856640003	7.319999853600004	8.334999833300003	8.645999827080004	8.853999822920004	9.103999817920005	9.619999807600003
5	6.420999871580003	7.069999858600004	7.808999843820003	8.122999837540004	8.454999830900004	9.181999816360003	9.187999816240005	9.680999806380004	10.073999798520006
6	6.346999873060003	7.057999858840004	7.597999848040004	8.040999839180003	8.492999830140004	8.931999821360005	9.342999813140004	9.707999805840004	10.016999799660006
7	5.757999884840004	6.553999868920003	7.2189998556200035	7.745999845080002	8.545999829080003	8.787999824240003	9.246999815060004	9.607999807840006	9.875999802480006
8	6.267999874640002	6.972999860540003	7.477999850440003	7.985999840280003	8.261999834760005	8.536999829260004	8.853999822920006	9.268999814620003	9.348999813020004
9	5.861999882760003	6.605999867880003	7.459999850800003	7.831999843360003	8.350999832980005	8.636999827260006	9.369999812600005	9.653999806920005	9.618999807620005
10	5.9839998803200025	6.7299998654000035	7.493999850120003	7.784999844300004	8.294999834100004	8.699999826000003	8.923999821520002	9.640999807180005	9.638999807220005
