run	1	2	3	4	5	6	7	8	9
1	3.59299992814	4.4649999107	5.06099989878	5.77399988452	6.57799986844	7.46299985074	8.24399983512	9.06799981864	9.63299980734
2	3.72699992546	4.51299990974	5.35599989288	5.79399988412	7.02699985946	7.42799985144	8.26899983462	9.13199981736	10.0159997997
3	3.61199992776	4.0849999183	4.7949999041	5.72299988554	6.40099987198	7.4299998514	8.43899983122	9.13399981732	10.3139997937
4	3.6699999266	4.40099991198	5.28399989432	5.91299988174	6.81299986374	7.53799984924	8.19799983604	9.10599981788	9.71599980568
5	3.79699992406	4.32099991358	4.97699990046	5.6049998879	6.34399987312	7.14199985716	7.95199984096	8.82099982358	9.64199980716
6	3.32299993354	4.01699991966	4.79699990406	5.69299988614	6.53299986934	7.45599985088	8.249999835	9.16899981662	9.98699980026
7	3.7599999248	4.7099999058	5.29399989412	6.3249998735	7.13299985734	7.80899984382	8.54199982916	9.08299981834	9.77799980444
8	3.77899992442	4.449999911	5.11199989776	5.51199988976	6.4049998719	7.57099984858	7.97299984054	9.03799981924	9.70199980596
9	3.9549999209	4.50799990984	5.38599989228	6.28899987422	6.87899986242	7.8849998423	8.40899983182	9.29099981418	9.69899980602
10	3.54399992912	4.3649999127	5.13099989738	5.86899988262	6.58199986836	7.58599984828	8.52699982946	9.46799981064	9.899999802
