run	1	2	3	4	5	6	7	8	9
1	3.672999926540002	4.766999904660002	5.623999887520003	6.600999867980002	7.303999853920003	7.691999846160004	8.369999832600003	8.940999821180004	9.286999814260005
2	4.117999917640002	5.396999892060003	6.428999871420003	6.859999862800002	7.621999847560003	8.089999838200004	8.421999831560004	8.963999820720005	9.417999811640005
3	3.9799999204000023	5.539999889200002	6.310999873780004	6.8609998627800035	7.594999848100003	8.340999833180003	8.621999827560003	9.384999812300002	9.487999810240005
4	5.346999893060003	6.420999871580003	6.490999870180001	7.323999853520004	7.780999844380003	8.234999835300004	8.392999832140005	8.743999825120003	8.949999821000004
5	4.458999910820002	5.635999887280002	6.647999867040003	7.227999855440003	7.623999847520004	8.070999838580002	8.526999829460005	8.916999821660005	8.942999821140004
6	3.798999924020002	5.064999898700002	5.8769998824600025	6.791999864160003	7.548999849020003	8.245999835080003	8.520999829580003	8.981999820360002	9.427999811440005
7	4.376999912460002	5.313999893720002	6.184999876300003	6.931999861360003	7.247999855040003	8.218999835620004	8.714999825700005	8.872999822540004	9.587999808240005
8	4.298999914020001	5.630999887380003	6.565999868680003	7.125999857480002	7.5529998489400025	8.057999838840004	8.665999826680004	8.953999820920004	8.928999821420003
9	4.565999908680002	5.802999883940003	6.562999868740004	7.205999855880004	7.508999849820002	8.119999837600004	8.597999828040003	9.030999819380003	9.068999818620004
10	3.8419999231600017	5.383999892320002	6.487999870240003	6.886999862260004	7.696999846060004	8.219999835600003	8.484999830300005	8.625999827480005	8.995999820080005
