run	1	2	3	4	5	6	7	8	9
1	1.0939999781200003	1.7069999658600006	2.1179999576400013	2.257999954840001	2.5209999495800015	2.480999950380001	2.649999947000001	2.773999944520001	2.8309999433800015
2	1.0799999784000005	1.6949999661000006	2.063999958720001	2.3329999533400008	2.3759999524800013	2.6849999463000014	2.7679999446400014	2.8199999436000014	2.9629999407400014
3	1.0779999784400003	1.7929999641400005	2.333999953320001	2.509999949800001	2.7969999440600013	3.004999939900001	3.222999935540001	3.2709999345800016	3.482999930340002
4	1.0879999782400005	1.8939999621200005	2.368999952620001	2.7789999444200006	3.0119999397600012	3.0909999381800013	3.169999936600002	3.3699999326000007	3.482999930340002
5	1.0719999785600005	1.975999960480001	2.393999952120001	2.654999946900001	2.865999942680001	2.9889999402200016	3.1269999374600013	3.143999937120001	3.371999932560002
6	1.0969999780600004	1.8159999636800008	2.245999955080001	2.583999948320001	2.7189999456200016	3.041999939160001	3.0999999380000016	3.220999935580002	3.3029999339400016
7	1.1159999776800005	1.818999963620001	2.398999952020001	2.615999947680001	2.8459999430800016	2.9789999404200014	3.061999938760002	3.2379999352400013	3.287999934240002
8	1.0909999781800006	1.7939999641200006	2.2489999550200013	2.4879999502400008	2.8289999434200017	2.969999940600001	3.1059999378800014	3.043999939120001	3.3639999327200014
9	1.0739999785200003	1.8749999625000004	2.1879999562400014	2.4659999506800014	2.7859999442800008	2.9409999411800007	3.052999938940001	3.1269999374600013	3.2739999345200017
10	1.0669999786600006	1.6809999663800008	1.9209999615800006	2.4029999519400014	2.534999949300001	2.8219999435600007	2.854999942900001	2.8929999421400012	3.0189999396200013
