run	1	2	3	4	5	6	7	8	9
1	1.0859999782800005	1.6239999675200005	2.1289999574200005	2.146999957060001	2.485999950280001	2.5639999487200007	2.763999944720001	2.842999943140001	2.814999943700001
2	1.0809999783800004	1.6339999673200005	1.981999960360001	2.251999954960001	2.515999949680001	2.6849999463000014	2.7219999455600012	2.8289999434200013	2.900999941980001
3	1.0929999781400004	1.7789999644200005	2.2049999559000013	2.516999949660001	2.777999944440001	2.9899999402000015	3.147999937040001	3.1899999362000013	3.3209999335800013
4	1.0969999780600004	1.8699999626000006	2.209999955800001	2.5649999487000006	2.8929999421400012	3.056999938860001	3.276999934460001	3.3159999336800023	3.300999933980002
5	1.1039999779200005	1.8129999637400007	2.2899999542000007	2.611999947760001	2.849999943000001	3.0689999386200015	3.0949999381000017	3.3479999330400023	3.2059999358800018
6	1.0629999787400004	1.7199999656000005	2.161999956760001	2.4979999500400014	2.7149999457000016	2.806999943860002	3.017999939640002	3.0629999387400018	3.2219999355600013
7	1.0999999780000005	1.7079999658400007	2.146999957060001	2.6799999464000015	2.8659999426800016	2.9659999406800015	3.1669999366600017	3.2219999355600013	3.292999934140002
8	1.0729999785400004	1.7989999640200005	2.100999957980001	2.520999949580001	2.8139999437200007	2.991999940160002	3.2509999349800016	3.136999937260001	3.1979999360400013
9	1.0659999786800005	1.7749999645000003	2.2729999545400013	2.532999949340001	2.691999946160001	2.753999944920001	3.0149999397000014	2.9659999406800015	3.1819999363600013
10	1.0619999787600003	1.6619999667600007	2.010999959780001	2.238999955220001	2.560999948780001	2.7439999451200014	2.803999943920001	2.8739999425200016	2.9709999405800014
