run	1	2	3	4	5	6	7	8	9
1	1.00399997992	1.60599996788	2.65799994684	3.25399993492	3.48299993034	3.749999925	4.00799991984	4.0849999183	4.26099991478
2	1.00599997988	1.83699996326	2.81099994378	3.57899992842	3.98699992026	4.5349999093	4.63699990726	4.71599990568	4.71299990574
3	1.02399997952	1.80799996384	2.54299994914	3.25399993492	3.64199992716	3.74899992502	4.20199991596	4.19599991608	4.35299991294
4	1.03399997932	1.81599996368	2.61299994774	3.20399993592	3.49999993	3.90699992186	4.06699991866	4.16399991672	4.49599991008
5	1.02599997948	1.8849999623	2.65899994682	3.19399993612	3.63799992724	4.18399991632	4.45899991082	4.48799991024	4.53099990938
6	1.01399997972	1.72899996542	2.68399994632	3.28799993424	3.73899992522	4.23099991538	4.35599991288	4.52599990948	4.6249999075
7	1.0049999799	1.58599996828	2.52099994958	3.099999938	3.47199993056	3.80899992382	4.12599991748	4.34799991304	4.42899991142
8	1.02299997954	1.92299996154	2.73899994522	3.21799993564	3.65599992688	3.8799999224	3.96099992078	3.94699992106	4.24799991504
9	1.00099997998	1.6749999665	2.8149999437	3.35299993294	3.77299992454	4.00899991982	4.21199991576	4.299999914	4.24399991512
10	1.00299997994	1.72899996542	2.55899994882	3.4399999312	3.91099992178	4.15799991684	4.45599991088	4.52299990954	4.81099990378
