run	1	2	3	4	5	6	7	8	9
1	4.073999918520003	5.817999883640002	6.565999868680002	7.150999856980004	7.923999841520003	8.412999831740002	9.038999819220004	9.514999809700004	9.732999805340004
2	4.389999912200002	6.100999877980002	6.733999865320003	7.537999849240004	7.882999842340004	8.404999831900003	8.799999824000004	9.308999813820005	9.595999808080006
3	4.432999911340002	5.735999885280002	6.486999870260004	7.469999850600004	7.899999842000003	8.659999826800004	8.791999824160005	9.228999815420003	9.643999807120004
4	4.718999905620002	6.316999873660003	6.917999861640004	7.700999845980004	8.109999837800004	8.372999832540003	8.811999823760004	9.060999818780004	9.454999810900004
5	4.843999903120002	5.853999882920002	6.805999863880003	7.523999849520004	7.819999843600003	8.398999832020003	8.779999824400004	8.942999821140003	9.017999819640004
6	4.053999918920002	5.497999890040003	6.4469998710600045	7.167999856640003	7.951999840960003	8.454999830900004	8.910999821780006	9.363999812720005	9.514999809700006
7	4.754999904900002	6.053999878920003	6.715999865680002	7.476999850460004	7.910999841780003	8.057999838840004	8.581999828360004	8.698999826020005	8.947999821040005
8	4.901999901960002	6.053999878920003	6.586999868260003	7.389999852200004	8.098999838020003	8.159999836800004	8.722999825540004	8.809999823800005	9.234999815300004
9	4.043999919120002	5.286999894260003	6.384999872300003	6.968999860620004	7.519999849600004	7.970999840580005	8.763999824720006	9.267999814640005	9.436999811260003
10	4.767999904640003	5.929999881400003	6.948999861020003	7.434999851300004	8.223999835520004	8.646999827060004	8.889999822200004	9.504999809900005	9.744999805100004
