run	1	2	3	4	5	6	7	8	9
1	3.944999921100002	5.473999890520003	6.636999867260003	7.254999854900003	8.021999839560003	8.529999829400003	9.018999819620005	9.198999816020004	9.379999812400005
2	4.798999904020002	5.865999882680002	6.694999866100003	7.4329998513400035	8.099999838000004	8.275999834480004	8.795999824080003	9.307999813840004	9.224999815500006
3	4.383999912320002	5.859999882800004	6.5399998692000025	7.4169998516600035	7.891999842160004	8.370999832580004	8.788999824220005	9.328999813420005	9.533999809320004
4	5.015999899680002	6.188999876220003	6.9969998600600025	7.596999848060003	8.060999838780003	8.562999828740004	9.015999819680005	8.995999820080005	9.169999816600004
5	4.6769999064600025	5.758999884820003	6.567999868640003	7.195999856080004	7.983999840320004	8.294999834100004	8.652999826940004	8.981999820360004	9.166999816660006
6	4.035999919280002	5.789999884200002	6.494999870100003	7.118999857620004	7.668999846620004	8.337999833240005	8.786999824260004	9.412999811740004	9.514999809700004
7	4.875999902480002	5.878999882420002	6.796999864060004	7.265999854680004	7.630999847380004	8.378999832420003	8.457999830840006	8.795999824080004	9.028999819420005
8	4.877999902440002	5.906999881860003	6.588999868220004	7.378999852420003	7.846999843060004	8.107999837840005	8.283999834320003	8.749999825000003	9.131999817360004
9	3.8509999229800025	5.497999890040003	6.2729998745400035	7.038999859220004	7.618999847620003	7.9889998402200035	8.871999822560005	8.930999821380004	9.370999812580003
10	4.748999905020002	6.129999877400003	6.6229998675400035	7.578999848420004	7.928999841420003	8.689999826200005	8.771999824560005	9.496999810060004	9.540999809180004
