run	1	2	3	4	5	6	7	8	9
1	1.2099999758000004	1.5189999696200007	1.5939999681200008	1.9129999617400009	2.119999957600001	2.2419999551600007	2.4209999515800007	2.4469999510600013	2.549999949000001
2	1.3099999738000006	1.6099999678000008	1.9359999612800007	2.0469999590600008	2.3299999534000007	2.482999950340001	2.6839999463200015	2.7899999442000016	2.8849999423000012
3	1.2229999755400005	1.5159999696800006	1.7059999658800007	1.8249999635000007	2.054999958900001	2.133999957320001	2.178999956420001	2.357999952840001	2.4389999512200013
4	1.1839999763200004	1.4949999701000007	1.735999965280001	2.0119999597600007	2.205999955880001	2.4899999502000014	2.6559999468800015	2.6939999461200017	2.9389999412200014
5	1.1419999771600002	1.4129999717400006	1.6509999669800008	1.7719999645600009	1.8959999620800008	2.126999957460001	2.1769999564600013	2.3159999536800013	2.478999950420001
6	1.2009999759800003	1.5199999696000006	1.8059999638800006	1.993999960120001	2.040999959180001	2.2389999552200015	2.4259999514800015	2.5249999495000015	2.825999943480001
7	1.2339999753200006	1.5259999694800004	1.7289999654200008	1.9169999616600009	2.0279999594400007	2.1129999577400014	2.269999954600001	2.3619999527600006	2.4119999517600013
8	1.1759999764800004	1.5279999694400006	1.7489999650200005	1.8619999627600008	2.122999957540001	2.2899999542000007	2.413999951720001	2.447999951040001	2.5309999493800013
9	1.2429999751400005	1.4769999704600005	1.5589999688200007	1.7749999645000007	1.8939999621200005	1.8839999623200008	1.9879999602400007	2.075999958480001	2.207999955840001
10	1.1189999776200006	1.4239999715200007	1.6289999674200004	1.794999964100001	1.955999960880001	2.1369999572600014	2.173999956520001	2.2299999554000007	2.3729999525400016
