3.142123999999999,(-1877.7195107371538, 0.1081135345181239)
156.71209900000002,(-383.40751789525615, 0.10967554609032021)
317.440456,(-267.47326282619201, 0.11230865161213063)
448.508318,(-265.04747064334828, 0.11284419871175412)
552.9803959999999,(-352.94734742469393, 0.11239791000933991)
659.821364,(-211.12185063312964, 0.11418306631679387)
765.595313,(-184.92349329682969, 0.11607979453101601)
870.6867299999999,(-182.60265255957535, 0.120631944272936)
978.23461,(-142.03289000521002, 0.1198844104121948)
1086.360322,(-136.21050348970078, 0.11840049845656168)
1196.09164,(-146.85976504296372, 0.11908108917708249)
1309.866196,(-150.19921269367651, 0.11870174359568615)
1425.078608,(-134.41018098654206, 0.11659302831310586)
1545.8740070000001,(-91.951473983292729, 0.11456241207101296)
1665.868782,(-100.55462843118255, 0.11040076617266714)
1780.1696750000003,(-114.4838527404156, 0.11542151868343353)
1891.885645,(-82.787858412437828, 0.11764180667928814)
1999.7979940000005,(-78.190697188229905, 0.12207122638667982)
2102.3080520000008,(-78.268135051137392, 0.11924844745969035)
2206.5700550000006,(-100.89586655135007, 0.1160016942039593)
2310.3307260000006,(-84.183531967635005, 0.11804346705681269)
2414.3235240000004,(-123.77879872272923, 0.1187129012241806)
2519.2155270000003,(-118.54776948751862, 0.11779800802469254)
2622.5093030000007,(-63.414175151549664, 0.12219395530746155)
2727.897873000001,(-80.69244371001254, 0.12098897525022939)
2832.577991000001,(-71.991152733871616, 0.12028606988720059)
2936.837736000001,(-40.567829497081718, 0.11593475139018186)
3042.2224570000008,(-62.897017164328666, 0.12115633372486252)
3146.009339000001,(-78.333038054790691, 0.1274043815114449)
3251.103905000001,(-156.28667969064614, 0.12604320003199823)
3354.949866000001,(-63.542053517607073, 0.12431382967792835)
3460.6320920000007,(-60.60985042139427, 0.12164725175069779)
3564.878428,(-72.037243656276431, 0.12309769218422703)
3669.646377,(-79.810696375738715, 0.11852322760777376)
3774.643962000001,(-68.096421487552604, 0.12367786716708203)
3879.7358590000003,(-41.629385781042352, 0.12482706192381603)
3984.2897009999997,(-50.890549482758509, 0.11912571869252883)
4089.670053,(-42.108693698017866, 0.12062078748935277)
4193.877469999999,(-58.544107004539256, 0.12000713931377401)
4298.6978389999995,(-59.605304246096267, 0.11912571838528839)
4406.4853889999995,(-49.866613447051691, 0.11888025923795306)
4516.973615999999,(-58.597466803088629, 0.11923729067610711)
4630.190761999999,(-62.687391399108257, 0.11817735375970909)
4743.279664999998,(-60.866669369727063, 0.1192038187123451)
4860.398316999998,(-42.536194290082477, 0.12458160293010093)
4977.9447009999985,(-69.20604184730766, 0.11691658797952317)
5095.100835999999,(-60.617781039365788, 0.11435042417694613)
5214.013746999999,(-27.093202421652901, 0.11041192287944027)
5331.044327,(-43.645285380255316, 0.11904761840387718)
5448.625644999999,(-49.966057148176368, 0.12140179310262818)
5567.318152,(-28.794938540950263, 0.11997366819492321)
5686.1820769999995,(-48.014203459946152, 0.11960547916667978)
5804.256700999999,(-32.719056339608024, 0.11755254868533194)
5924.592744999999,(-37.262392379573939, 0.11729593240876787)
6045.130724,(-45.874647248651563, 0.1192038187123451)
6164.411845999999,(-84.905828770902971, 0.11553309089744214)
6283.952695999999,(-43.827467549707471, 0.11808809695630959)
6403.267516999999,(-34.01912473157509, 0.11185120614533572)
6521.998353,(-33.154983176398524, 0.11498638807037442)
6639.6207779999995,(-44.174472995640073, 0.11406033689674643)
6759.700935,(-40.212929725646973, 0.11717320402565691)
6881.436029999999,(-44.634096130882341, 0.11668228523172054)
7002.085462999999,(-39.789967815900589, 0.11496407281338554)
7122.475248000001,(-53.406733424393174, 0.12279644627700147)
7243.155005999999,(-34.625536299243414, 0.11437273897307436)
7364.879428999999,(-46.494783765261936, 0.12341009264754266)
