run	1	2	3	4	5	6	7	8	9
1	1.0539999789200005	1.7139999657200005	2.2199999556000014	2.4609999507800007	2.672999946540001	2.9759999404800013	3.1229999375400013	3.386999932260002	3.4009999319800013
2	1.0619999787600003	1.8079999638400008	2.1589999568200007	2.5589999488200013	2.849999943000001	3.1559999368800016	3.2739999345200017	3.510999929780001	3.557999928840002
3	1.0599999788000005	1.7439999651200004	2.098999958020001	2.3509999529800014	2.792999944140001	2.9789999404200014	3.0119999397600012	3.0359999392800012	3.0619999387600014
4	1.0809999783800004	1.7249999655000006	2.2179999556400007	2.4439999511200012	2.747999945040001	2.8489999430200013	2.9599999408000013	3.0359999392800012	3.1769999364600015
5	1.0399999792000005	1.5139999697200004	2.0089999598200006	2.3219999535600007	2.6209999475800005	2.8219999435600016	2.9919999401600013	3.012999939740001	3.1509999369800017
6	1.0199999796000006	1.5349999693000003	1.8829999623400004	2.1959999560800014	2.403999951920001	2.560999948780001	2.9559999408800017	2.9099999418000015	3.057999938840001
7	1.0799999784000005	1.7379999652400007	2.177999956440001	2.5839999483200016	2.7819999443600008	2.8659999426800007	3.0309999393800013	3.335999933280001	3.3719999325600014
8	1.0469999790600006	1.6879999662400003	2.1239999575200006	2.4849999503000015	2.811999943760001	2.9219999415600015	2.9709999405800014	3.2439999351200015	3.210999935780002
9	1.0519999789600005	1.6599999668000005	2.1319999573600006	2.494999950100001	2.629999947400001	3.053999938920001	3.211999935760001	3.3539999329200008	3.490999930180001
10	1.0409999791800004	1.4979999700400006	2.069999958600001	2.5329999493400006	2.7579999448400008	3.1079999378400016	3.3079999338400015	3.3199999336000015	3.5859999282800015
