run	1	2	3	4	5	6	7	8	9
1	1.01699997966	1.21299997574	1.5299999694	2.249999955	2.77799994444	3.06899993862	3.649999927	3.93799992124	3.9599999208
2	1.00699997986	1.23299997534	1.73299996534	2.28599995428	2.98199994036	3.43599993128	3.62399992752	3.93799992124	4.26699991466
3	1.02299997954	1.29099997418	1.799999964	2.3649999527	2.91099994178	3.2949999341	3.75699992486	4.06399991872	4.3449999131
4	1.0099999798	1.24699997506	1.70399996592	2.23799995524	2.8349999433	3.11299993774	3.53799992924	3.70699992586	3.9049999219
5	1.02199997956	1.24899997502	1.72599996548	2.2449999551	2.93799994124	3.17899993642	3.78599992428	3.96599992068	4.34899991302
6	1.02099997958	1.22199997556	1.68799996624	2.2099999558	2.85599994288	3.26099993478	3.58399992832	3.96399992072	4.26699991466
7	1.01399997972	1.23399997532	1.77599996448	2.26799995464	2.849999943	3.26899993462	3.69399992612	3.84199992316	4.08299991834
8	1.02399997952	1.26599997468	1.6599999668	2.09699995806	2.71799994564	3.26199993476	3.74299992514	3.849999923	4.28099991438
9	1.01099997978	1.199999976	1.79399996412	2.26099995478	2.95199994096	3.51899992962	3.76599992468	4.06399991872	4.21599991568
10	1.01299997974	1.26299997474	1.7699999646	2.37799995244	3.00799993984	3.54199992916	3.95699992086	4.18899991622	4.44899991102
