run	1	2	3	4	5	6	7	8	9
1	1.1409999771800003	1.2699999746000006	1.4119999717600005	1.5629999687400007	1.7179999656400005	1.7549999649000005	1.8419999631600006	1.9599999608000007	1.9119999617600008
2	1.1189999776200006	1.3049999739000004	1.4529999709400006	1.6349999673000006	1.8039999639200006	1.9989999600200008	2.2529999549400013	2.3009999539800012	2.310999953780001
3	1.0509999789800006	1.1979999760400004	1.4369999712600006	1.5939999681200003	1.7099999658000005	1.977999960440001	2.1069999578600007	2.2109999557800006	2.4579999508400014
4	1.0709999785800004	1.2779999744400004	1.4389999712200006	1.6959999660800005	1.8239999635200008	2.0219999595600013	2.123999957520001	2.2949999541000006	2.3909999521800014
5	1.1209999775800004	1.3679999726400005	1.4799999704000006	1.702999965940001	1.738999965220001	1.9549999609000008	2.094999958100001	2.148999957020001	2.1339999573200013
6	1.0959999780800005	1.3479999730400003	1.5809999683800005	1.8659999626800006	2.063999958720001	2.267999954640001	2.5139999497200014	2.6419999471600013	2.795999944080001
7	1.1029999779400004	1.3199999736000005	1.4539999709200004	1.6909999661800006	1.8279999634400008	2.0239999595200007	2.1249999575000014	2.270999954580001	2.392999952140001
8	1.1919999761600004	1.3949999721000004	1.5089999698200005	1.723999965520001	1.914999961700001	2.005999959880001	2.2169999556600013	2.320999953580001	2.384999952300001
9	1.0649999787000004	1.2619999747600006	1.4099999718000005	1.6229999675400006	1.840999963180001	2.001999959960001	2.1409999571800014	2.280999954380001	2.333999953320001
10	1.0989999780200006	1.3129999737400004	1.4359999712800007	1.5719999685600006	1.7489999650200005	1.9039999619200008	2.100999957980002	2.172999956540001	2.368999952620001
