run	1	2	3	4	5	6	7	8	9
1	6.949999861000004	7.653999846920003	8.242999835140004	8.704999825900003	9.349999813000004	9.679999806400003	9.631999807360005	10.263999794720004	10.394999792100005
2	6.687999866240002	7.4569998508600035	7.691999846160003	8.222999835540005	8.892999822140004	9.316999813660004	9.591999808160004	10.019999799600004	10.110999797780003
3	6.371999872560003	7.3499998530000035	7.701999845960003	8.440999831180005	8.989999820200003	9.118999817620004	9.562999808740004	9.812999803740004	10.187999796240003
4	6.443999871120003	7.724999845500004	8.310999833780002	8.628999827420003	9.107999817840003	9.473999810520006	9.647999807040005	10.150999796980006	10.364999792700004
5	6.709999865800002	7.525999849480003	8.046999839060003	8.965999820680004	9.154999816900006	9.486999810260006	10.094999798100005	9.954999800900005	10.645999787080004
6	5.9599998808000025	6.937999861240003	7.858999842820003	8.656999826860003	8.660999826780005	9.154999816900004	9.502999809940004	10.232999795340007	10.485999790280005
7	5.9759998804800025	7.229999855400003	7.811999843760003	8.188999836220004	8.999999820000006	9.296999814060005	9.660999806780003	9.942999801140004	10.425999791480006
8	6.8339998633200025	7.822999843540004	8.295999834080003	8.653999826920003	9.124999817500004	9.262999814740006	9.552999808940005	9.701999805960003	9.879999802400004
9	6.532999869340003	7.293999854120003	7.828999843420004	8.286999834260005	8.728999825420004	9.117999817640005	9.334999813300005	9.739999805200004	9.913999801720003
10	6.862999862740004	7.4859998502800025	8.061999838760004	8.555999828880005	8.453999830920004	9.267999814640005	9.733999805320003	10.090999798180006	10.318999793620005
