run	1	2	3	4	5	6	7	8	9
1	6.9029998619400015	7.720999845580003	8.424999831500003	8.752999824940005	9.007999819840006	9.546999809060004	9.929999801400005	10.147999797040004	10.276999794460004
2	6.852999862940003	7.509999849800003	7.827999843440004	8.315999833680003	8.584999828300003	9.208999815820004	9.580999808380005	9.768999804620005	10.024999799500005
3	6.292999874140003	7.331999853360004	7.946999841060004	8.137999837240004	8.722999825540004	9.351999812960004	9.404999811900005	9.943999801120004	10.068999798620005
4	6.596999868060004	7.2349998553000034	8.193999836120003	8.436999831260005	8.988999820220005	9.424999811500005	9.845999803080005	10.130999797380003	10.351999792960004
5	6.416999871660002	7.475999850480004	8.126999837460005	8.557999828840003	8.990999820180004	9.667999806640005	9.707999805840004	10.224999795500004	10.642999787140004
6	6.032999879340002	6.853999862920004	7.428999851420003	8.244999835100003	8.619999827600004	9.220999815580004	9.707999805840004	9.916999801660005	10.157999796840006
7	6.192999876140004	7.130999857380003	7.532999849340005	8.469999830600003	8.650999826980005	9.425999811480004	9.594999808100004	10.067999798640004	10.236999795260004
8	7.093999858120003	7.763999844720004	8.167999836640004	8.577999828440005	8.787999824240003	9.314999813700004	9.604999807900006	9.969999800600004	10.061999798760006
9	6.7349998653000025	7.3129998537400045	7.851999842960003	8.311999833760003	8.527999829440002	9.136999817260005	9.311999813760005	9.581999808360006	10.075999798480003
10	6.725999865480004	7.508999849820004	7.958999840820004	8.567999828640003	8.999999820000005	9.151999816960004	9.518999809620006	9.914999801700004	10.162999796740007
