run	1	2	3	4	5	6	7	8	9
1	1.1899999762000004	1.4689999706200005	1.7679999646400009	1.9299999614000007	2.183999956320001	2.3009999539800017	2.541999949160001	2.4449999511000007	2.6919999461600015
2	1.2749999745000005	1.6069999678600004	1.9289999614200006	2.098999958020001	2.3279999534400013	2.4319999513600012	2.7409999451800013	2.685999946280001	2.787999944240001
3	1.2549999749000005	1.5479999690400006	1.7669999646600005	1.9309999613800009	2.040999959180001	2.221999955560001	2.287999954240001	2.2999999540000013	2.5109999497800004
4	1.2029999759400005	1.556999968860001	1.8199999636000008	2.0509999589800008	2.2789999544200015	2.5149999497000017	2.6379999472400013	2.6869999462600016	2.9149999417000014
5	1.1589999768200006	1.3919999721600007	1.6019999679600008	1.7869999642600007	2.0239999595200016	2.113999957720001	2.230999955380001	2.296999954060001	2.349999953000001
6	1.1769999764600003	1.5189999696200007	1.7189999656200006	1.9669999606600008	2.1609999567800013	2.341999953160001	2.4469999510600013	2.595999948080002	2.6949999461000016
7	1.2219999755600006	1.5369999692600005	1.7289999654200003	1.903999961920001	2.032999959340001	2.191999956160001	2.317999953640001	2.423999951520001	2.476999950460001
8	1.1989999760200005	1.5369999692600005	1.7419999651600007	1.924999961500001	2.154999956900001	2.2219999555600007	2.394999952100001	2.5139999497200005	2.5569999488600006
9	1.2809999743800007	1.4619999707600007	1.7049999659000008	1.7639999647200009	1.9129999617400006	2.0089999598200006	2.0249999595000006	2.114999957700001	2.1339999573200013
10	1.1099999778000005	1.4369999712600006	1.7169999656600006	1.8539999629200008	1.9459999610800007	1.996999960060001	2.183999956320001	2.2919999541600014	2.3269999534600014
