run	1	2	3	4	5	6	7	8	9
1	2.160999956780001	3.1939999361200013	4.464999910700003	5.731999885360002	7.013999859720002	8.103999837920004	9.064999818700004	9.579999808400004	10.309999793800003
2	1.8869999622600007	3.0679999386400016	4.478999910420002	5.664999886700002	6.818999863620004	7.763999844720003	8.627999827440004	9.404999811900005	10.154999796900004
3	2.004999959900001	3.234999935300001	4.517999909640002	5.440999891180002	6.694999866100003	7.792999844140003	8.456999830860003	9.491999810160003	10.055999798880004
4	1.9439999611200007	3.151999936960001	4.187999916240003	5.5639998887200015	6.630999867380003	7.8529998429400045	8.837999823240004	9.784999804300003	10.332999793340004
5	1.9789999604200008	3.2019999359600018	4.3369999132600014	5.492999890140004	6.829999863400003	7.815999843680004	8.769999824600005	9.663999806720003	10.369999792600005
6	1.7879999642400004	3.1319999373600016	4.349999913000001	5.835999883280003	6.450999870980004	8.067999838640002	8.807999823840003	9.618999807620003	10.406999791860006
7	2.1189999576200007	3.0489999390200015	3.9759999204800014	5.058999898820003	6.663999866720005	7.466999850660003	8.408999831820005	9.264999814700005	9.945999801080003
8	1.8879999622400008	2.890999942180001	4.216999915660002	5.5109998897800025	6.726999865460003	8.065999838680003	8.979999820400003	9.672999806540004	10.519999789600003
9	2.102999957940001	3.4149999317000015	4.4229999115400025	5.644999887100003	6.563999868720003	7.744999845100002	8.478999830420005	9.322999813540005	10.133999797320005
10	1.9769999604600008	3.2579999348400017	4.257999914840003	5.486999890260003	6.4359998712800035	7.878999842420004	9.154999816900006	9.795999804080004	10.440999791180005
