iter	slope_mean	slope_hw	intercept_mean	intercept_hw
400	0.4606	0.0348	0.8025	0.1723
800	0.7443	0.0438	0.7086	0.1228
1600	0.9197	0.088	0.4089	0.0974
3200	1.0215	0.0594	0.3203	0.087
12800	1.0058	0.0422	0.2595	0.0688
51200	0.9827	0.0245	0.2261	0.0447
102400	0.9804	0.0304	0.174	0.055
204800	0.9946	0.0299	0.1319	0.0874
409600	0.9961	0.0229	0.0922	0.0259
1000000	0.9847	0.0129	0.0631	0.0417
